sc_point_gid,latitude,longitude,timezone,area_developable_sq_km,capacity_ac_mw,dist_spur_km
8497,48.8568651,-105.5555691,-7,5.63306402,13.35390667,25.08021428
8498,48.8666315,-105.3902657,-7,30.68126147,73.43317352,30.86095454
8499,48.87622817,-105.2249049,-7,5.100893921,12.05309814,32.5810974
8511,48.97811587,-103.2364628,-6,0.025514999,0.059773635,13.14
8514,48.99974906,-102.7382848,-6,0.002025,0.004812692,13.94205194
8876,48.74955523,-105.7038428,-7,10.9220491,25.54211566,15.83424674
8877,48.75947221,-105.5388821,-7,49.82456733,118.0609358,23.39799349
8878,48.76921987,-105.3738635,-7,38.15316343,92.83420909,19.34095454
8879,48.77879812,-105.2087879,-7,41.42221348,100.3412093,20.4363961
8880,48.78820686,-105.0436563,-7,6.894495154,16.28956936,24.81350647
8890,48.87295138,-103.3894726,-6,12.56040857,30.10275741,6.105655839
8891,48.88048967,-103.2237892,-6,36.13134727,87.01568077,1.62
8892,48.88785743,-103.0580616,-6,18.19489395,43.61671062,4.23
8893,48.89505458,-102.8922907,-6,22.31693174,53.42751793,3.367279221
8894,48.90208106,-102.7264776,-6,39.19377612,95.21807796,2.52
8895,48.90893679,-102.5606232,-6,9.712593127,23.15423676,1.62
9256,48.65219666,-105.6869302,-7,29.1174928,68.754955,24.71601297
9257,48.6620947,-105.5222532,-7,38.78414868,93.71120022,13.19601297
9258,48.67182373,-105.3575184,-7,40.62300293,101.7291692,7.746396103
9259,48.68138367,-105.192727,-7,30.95172158,79.65009093,8.767279221
9260,48.6907744,-105.0278798,-7,23.46605002,57.69118113,14.55880518
9261,48.69999586,-104.8629778,-7,12.21573538,29.28066426,26.0260844
9262,48.70904793,-104.6980221,-7,0.942083974,2.201351641,15.54131168
9269,48.76766243,-103.5419069,-6,0.224162952,0.52952147,20.0860844
9270,48.77535635,-103.3765558,-6,22.64636602,54.29875607,10.78035713
9271,48.78288014,-103.2111598,-6,40.83650991,101.4512376,8.525512986
9272,48.79023373,-103.0457197,-6,39.93204683,98.25952279,7.423675324
9273,48.79741703,-102.8802366,-6,35.57262129,86.64253529,1.297279221
9274,48.80442998,-102.7147116,-6,38.26970376,93.97885374,7.465798693
9275,48.8112725,-102.5491455,-6,15.4268465,36.92733998,0.09
9635,48.54480566,-105.8344124,-7,1.733192976,4.036846106,15.36505843
9636,48.55485345,-105.6700763,-7,38.21598984,90.34896288,18.90484415
9637,48.56473265,-105.5056819,-7,42.1863583,104.766361,9.726396103
9638,48.57444315,-105.3412301,-7,53.48690244,141.4518785,1.89
9639,48.58398487,-105.1767219,-7,30.94206328,84.73448247,2.79
9640,48.59335771,-105.0121582,-7,28.00938669,71.38228431,12.04565584
9641,48.60256157,-104.8475401,-7,32.74385647,81.49220897,23.64021428
9642,48.61159636,-104.6828683,-7,23.44041123,55.71997778,21.46276621
9643,48.62046201,-104.5181441,-7,1.176263965,2.75890777,11.38057141
9650,48.67777798,-103.3636841,-6,15.07499978,35.6773792,22.30035713
9651,48.68528736,-103.1985744,-6,39.11593623,95.10886784,18.96551299
9652,48.69262685,-103.0334209,-6,43.12133877,105.8786235,7.221837662
9653,48.69979637,-102.8682247,-6,34.89236367,85.10736277,2.188233765
9654,48.70679587,-102.7029866,-6,22.5844196,55.10475745,13.60918831
9655,48.71362526,-102.5377078,-6,9.293120508,21.97486008,5.975727266
9657,48.72677346,-102.2070316,-6,0.053279997,0.124810982,5.893675324
9658,48.73309214,-102.0416363,-6,3.299031024,7.866564735,0.27
9659,48.73924045,-101.8762041,-6,2.236832996,5.338969102,3.044558441
10009,48.38379479,-106.8003917,-7,0.957888034,2.238885693,16.43381818
10014,48.43729871,-105.9813311,-7,6.423857666,15.12150729,19.83837662
10015,48.44749565,-105.8173354,-7,20.53000767,48.273372,8.462194796
10016,48.45752439,-105.6532807,-7,27.87557454,65.79863489,7.384844148
10017,48.46738485,-105.489168,-7,49.38104883,122.8101616,5.087422074
10018,48.47707693,-105.3249982,-7,45.0334292,124.018336,1.235512986
10019,48.48660054,-105.1607722,-7,39.17989775,109.624928,8.325870119
10020,48.49595557,-104.9964911,-7,52.60652183,140.6780183,18.82078569
10021,48.50514194,-104.8321557,-7,42.59831924,112.0661555,26.41121425
10022,48.51415955,-104.6677671,-7,35.13804521,85.86401212,27.67231165
10023,48.52300833,-104.5033262,-7,11.80313075,27.96165565,21.21460387
10030,48.58021507,-103.3508571,-6,0.280979966,0.660952705,18.25255193
10031,48.58771011,-103.1860328,-6,5.45565553,12.95867122,11.21381818
10032,48.59503558,-103.0211649,-6,32.81369524,78.92754463,5.961837662
