sc_point_gid,latitude,longitude,timezone,elevation_m,resource,area_developable_sq_km,capacity_ac_mw,capacity_density_included_area_mw_per_km2,capacity_density_convex_hull_mw_per_km2,dist_spur_km
799,48.981266,-122.20848,-8,149,5.7778444,0.0081,0,0,0,36.56887661
1180,48.913666,-122.00313,-8,389,3.201168,0.117,0,0,0,52.87761036
1543,48.34684,-124.6527,-8,205.58824,7.7493987,2.3625002,78,45.422783,4.4661393,60.61560385
1566,48.975403,-120.99652,-8,1258,3.5202122,0.0567,0,0,0,33.80290906
1567,49.00084,-120.83574,-8,1705,8.072559,0.0081,0,0,0,57.41753893
1923,48.253456,-124.603775,-8,176.96875,6.897178,12.1815,204,20.148148,2.2019622,35.9474675
1924,48.282444,-124.44678,-8,210.63333,7.203063,4.6359,168,46.608406,2.408584,33.23092855
1939,48.698677,-122.07284,-8,431,5.464185,0.0369,0,0,0,29.22350647
1949,48.956573,-120.47116,-8,1858.5,6.347158,0.0243,0,0,0,173.6533311
1950,48.98149,-120.31018,-8,2077.5,6.736192,0.0243,0,0,0,69.57877918
2303,48.16008,-124.55502,-8,119.62162,6.43922,12.8367,192,18.34652,1.8066213,27.659974
2304,48.189014,-124.398254,-8,258.3611,6.789388,6.3765,204,42.18624,2.1380854,19.02682466
2305,48.217796,-124.24133,-8,206.53334,6.3666105,13.923,162,13.986014,2.2750578,29.40085712
2319,48.60449,-122.02792,-8,280.44446,4.7493525,1.3328999,42,41.152264,2.3960834,19.39961687
2320,48.630936,-121.868675,-8,846.7273,4.537079,0.4932,54,130.71895,4.3290043,17.27689609
2321,48.657234,-121.709274,-8,369.8,3.0538375,0.6237,48,91.16809,9.588877,1.722792206
2333,48.960426,-119.78502,-8,1473.8334,5.6505194,0.3924,24,67.340065,14.413932,24.34166881
2334,48.984657,-119.62373,-8,702.94446,5.483537,5.1093,84,17.91083,5.3485017,21.00947402
2682,48.037666,-124.662796,-8,99.26087,6.741695,8.645399,132,19.873531,3.256564,22.34622725
2683,48.0667,-124.506424,-8,117.26316,6.4059496,23.1498,210,11.641637,2.2977922,19.93961687
2684,48.095585,-124.3499,-8,226,6.567976,9.8667,198,25.569502,2.6622055,7.679331163
2685,48.12431,-124.19321,-8,361.6857,6.781031,8.3853,210,34.068233,2.1918867,4.062792206
2686,48.152885,-124.03636,-8,342.89655,6.414802,14.9939995,168,13.028104,2.212466,25.73799349
2696,48.43015,-122.45928,-8,67,6.0759926,0.2016,0,0,0,8.862123369
2698,48.48374,-122.14202,-8,1035,7.529341,0.0081,0,0,0,22.82336362
2699,48.5103,-121.98317,-8,96,4.7599487,3.6828,54,16.792612,4.0294147,17.32851947
2700,48.536705,-121.82416,-8,282.94446,4.8154063,3.5955002,60,18.896448,2.3583417,14.9421948
2701,48.56295,-121.66501,-8,160.33333,3.3819268,0.3366,0,0,0,7.126538957
2702,48.58904,-121.50571,-8,1168,5.0251713,0.0162,0,0,0,19.38307791
2703,48.61497,-121.34625,-8,1191,3.5860052,0.1719,0,0,0,28.08438959
2707,48.717117,-120.706985,-8,1960.5,7.2175508,0.0324,0,0,0,29.18622725
2712,48.841232,-119.90466,-8,1672.0667,6.166069,3.2310002,60,24.44689,4.913927,26.54534414
2713,48.865578,-119.743774,-8,1211.4706,5.124296,2.1834,60,35.106197,2.148108,13.91601297
2714,48.889763,-119.58274,-8,743.6316,5.957988,3.1553998,90,31.74603,1.8138552,26.58947402
2715,48.913788,-119.42158,-8,619.0833,6.2444954,1.2681001,54,47.96163,1.5719563,3.178233765
2716,48.937653,-119.26027,-8,1137.8334,4.6662936,3.3201,60,20.02002,1.849447,13.5074935
2717,48.961357,-119.09882,-8,1205.8235,5.250496,2.7954001,60,24.44689,2.8020582,37.68615583
2718,48.984894,-118.93724,-8,1211.7778,5.217675,3.8349001,138,37.28017,2.624955,46.07534414
3062,47.944336,-124.61412,-8,78.75,6.828942,3.6774,54,19.267822,10.511099,16.91579869
3063,47.97332,-124.45799,-8,101.125,6.0731235,10.0089,132,16.544464,2.3062143,4.28646753
3064,48.002148,-124.30169,-8,285.85715,6.088332,6.9588003,192,37.094997,2.078245,11.83212337
3065,48.030823,-124.14524,-8,421.7647,6.2084346,0.9144,60,101.47134,3.5077105,8.566538957
3066,48.05935,-123.98863,-8,692.1429,6.690926,0.42300004,0,0,0,22.76689609
3067,48.087723,-123.831856,-8,398.26666,5.888881,2.6262,60,28.935184,5.491036,7.536610383
3068,48.115936,-123.67493,-8,254.63637,5.51048,1.3554,48,39.24454,1.7514018,23.88792206
3075,48.309135,-122.5721,-8,23,6.334723,0.3222,0,0,0,44.52460387
3077,48.362938,-122.25563,-8,180,5.460461,0.015299999,0,0,0,26.94637011
3078,48.389606,-122.09717,-8,770.75,5.6957517,0.1872,0,0,0,11.56851947
3079,48.416115,-121.93855,-8,658.5,4.6151814,0.6957,42,64.81481,0.87227416,21.96329219
3080,48.44247,-121.77979,-8,204,3.9624927,0.0324,0,0,0,13.20131168
3081,48.46867,-121.62088,-8,368.7,3.6886697,1.0701001,54,60.06006,1.183502,6.801168825
3082,48.49471,-121.46182,-8,556,3.852845,0.0162,0,0,0,24.74159739
